model_path,HW,CIN,COUT,KERNEL_SIZE,STRIDES,feature_0,feature_1,latency
conv-bn-relu_lut_DKUR0T.onnx,224,3,16,3,2,5.619712,0.000448,0.8051239999999998
conv-bn-relu_lut_9O99ZB.onnx,224,3,32,3,2,11.239424,0.000896,0.933082
conv-bn-relu_lut_5W7SM4.onnx,208,3,16,3,2,4.845568,0.000448,0.698448
conv-bn-relu_lut_TBWNAT.onnx,208,3,32,3,2,9.691136,0.000896,0.89193
conv-bn-relu_lut_IQ3391.onnx,192,3,16,3,2,4.128768,0.000448,0.662498
conv-bn-relu_lut_VK6MDH.onnx,192,3,32,3,2,8.257536,0.000896,0.7191339999999999
conv-bn-relu_lut_30OFBK.onnx,176,3,16,3,2,3.469312,0.000448,0.49684199999999995
conv-bn-relu_lut_U83CZ5.onnx,176,3,32,3,2,6.938624,0.000896,0.6432279999999999
conv-bn-relu_lut_26NM3V.onnx,160,3,16,3,2,2.8672,0.000448,0.4062819999999999
conv-bn-relu_lut_825DHF.onnx,160,3,32,3,2,5.7344,0.000896,0.49870399999999987
conv-bn-relu_lut_YD4LSO.onnx,5,320,1280,1,1,10.272,0.41088,0.161046
conv-bn-relu_lut_LVSMHM.onnx,5,336,1280,1,1,10.784,0.43136,0.16568999999999998
conv-bn-relu_lut_R7PUC1.onnx,5,352,1280,1,1,11.296,0.45184,0.169562
conv-bn-relu_lut_4CFYLD.onnx,5,368,1280,1,1,11.808,0.47232,0.174164
conv-bn-relu_lut_NJVOCH.onnx,5,384,1280,1,1,12.32,0.4928,0.19150999999999999
conv-bn-relu_lut_000WHU.onnx,5,400,1280,1,1,12.832,0.51328,0.19278199999999998
conv-bn-relu_lut_9905RP.onnx,5,416,1280,1,1,13.344,0.53376,0.19701600000000002
conv-bn-relu_lut_KYTGSV.onnx,5,432,1280,1,1,13.856,0.55424,0.206964
conv-bn-relu_lut_ISMVOY.onnx,6,320,1280,1,1,14.79168,0.41088,0.19228399999999998
conv-bn-relu_lut_J17JPS.onnx,6,336,1280,1,1,15.52896,0.43136,0.197938
conv-bn-relu_lut_6JK63E.onnx,6,352,1280,1,1,16.26624,0.45184,0.198668
conv-bn-relu_lut_L1JZ8Q.onnx,6,368,1280,1,1,17.00352,0.47232,0.210862
conv-bn-relu_lut_X8DPJD.onnx,6,384,1280,1,1,17.7408,0.4928,0.213468
conv-bn-relu_lut_HRYLVA.onnx,6,400,1280,1,1,18.47808,0.51328,0.209492
conv-bn-relu_lut_JEIRI6.onnx,6,416,1280,1,1,19.21536,0.53376,0.22093200000000002
conv-bn-relu_lut_SFC34N.onnx,6,432,1280,1,1,19.95264,0.55424,0.22768
conv-bn-relu_lut_9286WI.onnx,7,320,1280,1,1,20.13312,0.41088,0.252322
conv-bn-relu_lut_BIVDG1.onnx,7,336,1280,1,1,21.13664,0.43136,0.25858000000000003
conv-bn-relu_lut_GWVZXE.onnx,7,352,1280,1,1,22.14016,0.45184,0.275046
conv-bn-relu_lut_1268LK.onnx,7,368,1280,1,1,23.14368,0.47232,0.28161400000000003
conv-bn-relu_lut_VPPDH8.onnx,7,384,1280,1,1,24.1472,0.4928,0.28720999999999997
conv-bn-relu_lut_0V1TZZ.onnx,7,400,1280,1,1,25.15072,0.51328,0.30774
conv-bn-relu_lut_AI67J3.onnx,7,416,1280,1,1,26.15424,0.53376,0.31055799999999995
conv-bn-relu_lut_HPSVVK.onnx,7,432,1280,1,1,27.15776,0.55424,0.324288
conv-bn-relu_lut_Y77PFS.onnx,1,1280,1920,1,1,2.45952,2.45952,0.19642600000000005
conv-bn-relu_lut_7EQ88J.onnx,112,16,16,1,1,3.411968,0.000272,0.189534
conv-bn-relu_lut_N0JDRB.onnx,56,16,16,1,1,0.852992,0.000272,0.079012
conv-bn-relu_lut_PTV05O.onnx,112,16,16,1,2,0.852992,0.000272,0.11533399999999999
conv-bn-relu_lut_P8TS7V.onnx,112,16,32,1,1,6.823936,0.000544,0.24054399999999998
conv-bn-relu_lut_KICUYU.onnx,112,32,32,1,1,13.246464,0.001056,0.33291400000000004
