model_path,HW,CIN,COUT,KERNEL_SIZE,STRIDES,feature_0,feature_1,latency
dwconv-bn-relu_lut_NOEYVO.onnx,112,16,16,3,1,2.00704,0.00016,0.5248919999999999
dwconv-bn-relu_lut_V183QP.onnx,112,16,16,3,2,0.50176,0.00016,0.18480400000000002
dwconv-bn-relu_lut_3UV03L.onnx,56,16,16,3,1,0.50176,0.00016,0.164516
dwconv-bn-relu_lut_ZE9249.onnx,112,16,16,5,1,5.218304,0.000416,1.08244
dwconv-bn-relu_lut_CS5R39.onnx,112,16,16,5,2,1.304576,0.000416,0.29230399999999995
dwconv-bn-relu_lut_O2GXYE.onnx,56,16,16,5,1,1.304576,0.000416,0.28525
dwconv-bn-relu_lut_74XY7H.onnx,112,32,32,3,1,4.01408,0.00032,0.654754
dwconv-bn-relu_lut_E5CEJ4.onnx,56,32,32,3,1,1.00352,0.00032,0.191384
dwconv-bn-relu_lut_CV72C7.onnx,112,32,32,5,1,10.436608,0.000832,1.26411
dwconv-bn-relu_lut_CAYEAA.onnx,56,32,32,5,1,2.609152,0.000832,0.34650200000000003
dwconv-bn-relu_lut_MJ4DOC.onnx,112,32,32,3,2,1.00352,0.00032,0.201462
dwconv-bn-relu_lut_JKK52G.onnx,112,32,32,5,2,2.609152,0.000832,0.365036
dwconv-bn-relu_lut_WLVRP4.onnx,108,16,16,3,1,1.86624,0.00016,0.49607199999999996
dwconv-bn-relu_lut_I2T7XA.onnx,108,16,16,3,2,0.46656,0.00016,0.16981200000000002
dwconv-bn-relu_lut_7OWJ64.onnx,54,16,16,3,1,0.46656,0.00016,0.156478
dwconv-bn-relu_lut_PPS9QA.onnx,108,16,16,5,1,4.852224,0.000416,1.013862
dwconv-bn-relu_lut_I1OUJS.onnx,108,16,16,5,2,1.213056,0.000416,0.281574
dwconv-bn-relu_lut_O02054.onnx,54,16,16,5,1,1.213056,0.000416,0.29009
dwconv-bn-relu_lut_JUG7GC.onnx,108,32,32,3,1,3.73248,0.00032,0.617862
dwconv-bn-relu_lut_SRPNWC.onnx,54,32,32,3,1,0.93312,0.00032,0.202164
dwconv-bn-relu_lut_9YNK3X.onnx,108,32,32,5,1,9.704448,0.000832,1.184348
dwconv-bn-relu_lut_2O20Q3.onnx,54,32,32,5,1,2.426112,0.000832,0.33603399999999994
dwconv-bn-relu_lut_4MXN86.onnx,108,32,32,3,2,0.93312,0.00032,0.19382599999999997
dwconv-bn-relu_lut_89861R.onnx,108,32,32,5,2,2.426112,0.000832,0.35034600000000005
